2021-12-21 22:35:04:831 0 sec: 0 operations; est completion in 0 second 
2021-12-21 22:35:09:731 5 sec: 393 operations; 78,57 current ops/sec; est completion in 2 minutes [READ AverageLatency(us)=25358,41] [UPDATE AverageLatency(us)=32698,95] 
2021-12-21 22:35:14:731 10 sec: 1003 operations; 122 current ops/sec; est completion in 1 minute [READ AverageLatency(us)=24835,42] [UPDATE AverageLatency(us)=27425,43] 
2021-12-21 22:35:19:730 15 sec: 1721 operations; 143,63 current ops/sec; est completion in 1 minute [READ AverageLatency(us)=23100,38] [UPDATE AverageLatency(us)=18609,67] 
2021-12-21 22:35:24:732 20 sec: 2483 operations; 152,34 current ops/sec; est completion in 1 minute [READ AverageLatency(us)=18442,72] [UPDATE AverageLatency(us)=20424,56] 
2021-12-21 22:35:29:731 25 sec: 3161 operations; 135,65 current ops/sec; est completion in 55 seconds [READ AverageLatency(us)=25446,68] [UPDATE AverageLatency(us)=18415,67] 
2021-12-21 22:35:34:730 30 sec: 3990 operations; 165,8 current ops/sec; est completion in 46 seconds [READ AverageLatency(us)=19054,96] [UPDATE AverageLatency(us)=17872,52] 
2021-12-21 22:35:39:730 35 sec: 4771 operations; 156,2 current ops/sec; est completion in 39 seconds [READ AverageLatency(us)=17453,73] [UPDATE AverageLatency(us)=20595] 
2021-12-21 22:35:44:730 40 sec: 5517 operations; 149,2 current ops/sec; est completion in 33 seconds [READ AverageLatency(us)=19002,9] [CLEANUP AverageLatency(us)=1] [UPDATE AverageLatency(us)=21280,08] 
2021-12-21 22:35:49:730 45 sec: 6374 operations; 171,4 current ops/sec; est completion in 26 seconds [READ AverageLatency(us)=11482,32]  [UPDATE AverageLatency(us)=11821,63] 
2021-12-21 22:35:54:731 50 sec: 7231 operations; 171,37 current ops/sec; est completion in 20 seconds [READ AverageLatency(us)=11518,96]  [UPDATE AverageLatency(us)=11813,62] 
2021-12-21 22:35:59:731 55 sec: 8054 operations; 164,63 current ops/sec; est completion in 14 seconds [READ AverageLatency(us)=10062,45] [CLEANUP AverageLatency(us)=0] [UPDATE AverageLatency(us)=10313,64] 
2021-12-21 22:36:04:730 60 sec: 8847 operations; 158,6 current ops/sec; est completion in 8 second [READ AverageLatency(us)=6267,83]  [UPDATE AverageLatency(us)=6323,11] 
2021-12-21 22:36:09:730 65 sec: 9690 operations; 168,6 current ops/sec; est completion in 3 second [READ AverageLatency(us)=5867,48]  [UPDATE AverageLatency(us)=5990,55] 
2021-12-21 22:36:11:549 66 sec: 10000 operations; 170,42 current ops/sec; [READ AverageLatency(us)=5914,02] [CLEANUP AverageLatency(us)=0] [UPDATE AverageLatency(us)=5802,65] 
